OrderID,CustomerName,Email,ProductCategory,ProductName,Quantity,UnitPrice,Sales,OrderDate,Shippingcity,Country,PaymentMethod
100001,Allison Hill,donaldgarcia@example.net,Electronics,Wireless Mouse,4,59.69,238.76,07/05/26,New Roberttown,India,Credit Card
100002,David Guzman,jennifermiles@example.com,Apparel,Baseball Cap,4,180.42,721.68,03/01/25,Lisatown,U.S.A,Credit Card
100003,Caitlin Henderson,eric51@example.org,Beauty,Lipstick Matte,4,239.52,958.08,25/06/25,Melanieview,Canada,Debit Card
100005,Darren Roberts,wyattmichelle@example.com,Electronics,USB-C Cable,7,73.1,511.7,12/04/25,Franciscostad,U.S.A,NA
100006,Derek Zuniga,lynchgeorge@example.net,Electronics,Webcam HD,4,45.03,180.12,18/03/25,Grayside,NA,Credit Card
100007,Frederick Tate,perezantonio@example.com,Home & Kitchen,Throw Pillow,4,228.72,914.88,11/07/25,East Robinshire,U.S.A,Upi
100008,Emily Rios,pwilkerson@example.com,Home & Kitchen,Ceramic Mug Set,5,188.02,940.1,01/03/25,East Julie,Canada,Credit Card
100009,Nicole Patterson,icox@example.net,Beauty,Face Moisturizer,2,42.45,84.9,16/09/25,Port Danielburgh,Australia,Upi
100010,Jennifer Brown,dcarlson@example.net,Home & Kitchen,Cutting Board,1,171.67,171.67,23/03/25,Lake Jenniferside,United Kingdom,Upi
100011,Patricia Peterson,ryan70@example.net,Beauty,Face Moisturizer,5,243.11,1215.55,23/06/26,Teresaburgh,India,Credit Card
100012,Ashley Garrett,ericfarmer@example.net,Home & Kitchen,Ceramic Mug Set,1,151.74,151.74,19/08/26,New Mariotown,United Kingdom,Credit Card
100013,Jack Galloway,john39@example.org,Electronics,Wireless Mouse,2,244.61,489.22,22/11/24,Cabreraside,U.S.A,Net Banking
100014,Betty Alvarez,josephbrennan@example.com,Beauty,Shampoo 500ml,4,179.67,718.68,26/08/26,Lake Larry,Canada,Credit Card
100015,Marie Kim DDS,wrightcaleb@example.org,Electronics,Webcam HD,4,6.76,27.04,25/11/25,New Jeffrey,U.S.A,Credit Card
100017,Sonya Johnston,kristenaguirre@example.org,Apparel,Cotton T-Shirt,7,91.8,642.6,28/11/24,Gomezchester,India,Credit Card
100018,Nicholas Nunez,brownjessica@example.org,Apparel,Denim Jacket,3,108.36,325.08,21/03/25,New Shane,NA,Credit Card
100019,Donald Wright,ramosmichelle@example.net,Sports,Yoga Mat,4,45.75,183,12/01/24,North Sarabury,NA,Credit Card
100020,John Lewis,NA,Home & Kitchen,Throw Pillow,8,42.93,343.44,22/09/24,Bakermouth,Australia,Credit Card
100021,Michael Cross,smoore@example.org,Sports,Jump Rope,3,18.94,56.82,30/08/26,Lake Leeton,India,Credit Card
100022,Kathryn Farrell,brianromero@example.org,Apparel,Baseball Cap,2,107.71,215.42,11/10/24,Lake Michellefurt,NA,NA
100023,Steve Sanchez,harveyrobert@example.net,Apparel,Running Shoes,5,117.02,585.1,11/08/25,Sarahborough,India,Credit Card
100024,Emily Baker,emilyevans@example.com,Sports,Resistance Bands,3,233.65,700.95,08/01/26,North Stephenshire,United Kingdom,Net Banking
100025,Angel Lewis MD,NA,Sports,Dumbbell Set,1,233.28,233.28,14/01/25,Cherylhaven,United Kingdom,Credit Card
100026,Robert Evans,mcmillandennis@example.org,Home & Kitchen,Cutting Board,6,54.88,329.28,03/07/26,NA,Australia,NA
100027,Grant Watts,william40@example.org,Beauty,Lipstick Matte,1,193.92,193.92,28/12/25,Bradleymouth,U.S.A,Credit Card
100028,Mandy Green,barnold@example.net,Electronics,USB-C Cable,6,147.71,886.26,28/09/24,Lake Rebeccaside,India,Credit Card
100029,Jacob Tran,tanderson@example.com,Apparel,Denim Jacket,1,196.13,196.13,07/10/26,West Jasonbury,Australia,Credit Card
100030,Heather Castro,vdickson@example.org,Apparel,Wool Sweater,1,196.68,196.68,29/07/26,Port Francisco,United Kingdom,Credit Card
100031,Cassandra Gutierrez,jillcook@example.com,Apparel,Denim Jacket,8,90.67,725.36,30/04/26,NA,U.S.A,Debit Card
100032,Janet Williams,dwalker@example.com,Home & Kitchen,LED Desk Lamp,7,171.48,1200.36,02/05/25,East Andrew,India,Net Banking
100033,Garrett Lin,michael86@example.net,Electronics,Wireless Mouse,6,183.49,1100.94,09/08/26,Sheilaville,Australia,Debit Card
100035,Steven Lee,NA,Home & Kitchen,Throw Pillow,5,140.83,704.15,02/05/26,West Ryan,U.S.A,Credit Card
